,GeoFIPS,county_name,state_name,year,housing_units
0,13091,Dodge County,Georgia,2009,8516
1,13093,Dooly County,Georgia,2009,4620
2,13095,Dougherty County,Georgia,2009,41624
3,13097,Douglas County,Georgia,2009,47770
4,13099,Early County,Georgia,2009,5533
5,13101,Echols County,Georgia,2009,1513
6,13103,Effingham County,Georgia,2009,18666
7,13105,Elbert County,Georgia,2009,9515
8,13107,Emanuel County,Georgia,2009,9734
9,13109,Evans County,Georgia,2009,4645
10,13111,Fannin County,Georgia,2009,16342
11,13113,Fayette County,Georgia,2009,38775
12,13115,Floyd County,Georgia,2009,39894
13,13117,Forsyth County,Georgia,2009,58668
14,13119,Franklin County,Georgia,2009,9658
15,13121,Fulton County,Georgia,2009,425921
16,13123,Gilmer County,Georgia,2009,16219
17,13125,Glascock County,Georgia,2009,1230
18,13127,Glynn County,Georgia,2009,37964
19,13129,Gordon County,Georgia,2009,20804
20,13131,Grady County,Georgia,2009,10633
21,13133,Greene County,Georgia,2009,8168
22,13135,Gwinnett County,Georgia,2009,279851
23,13137,Habersham County,Georgia,2009,17559
24,13139,Hall County,Georgia,2009,62658
25,13141,Hancock County,Georgia,2009,4707
26,13143,Haralson County,Georgia,2009,12042
27,13145,Harris County,Georgia,2009,12675
28,13147,Hart County,Georgia,2009,12060
29,13149,Heard County,Georgia,2009,4905
30,13151,Henry County,Georgia,2009,70180
31,13153,Houston County,Georgia,2009,56712
32,13155,Irwin County,Georgia,2009,4215
33,13157,Jackson County,Georgia,2009,23341
34,13159,Jasper County,Georgia,2009,6087
35,13161,Jeff Davis County,Georgia,2009,5705
36,13163,Jefferson County,Georgia,2009,7446
37,13165,Jenkins County,Georgia,2009,4251
38,13167,Johnson County,Georgia,2009,3698
39,13169,Jones County,Georgia,2009,11099
40,13171,Lamar County,Georgia,2009,7256
41,13173,Lanier County,Georgia,2009,3578
42,13175,Laurens County,Georgia,2009,20352
43,13177,Lee County,Georgia,2009,11588
44,13179,Liberty County,Georgia,2009,24430
45,13181,Lincoln County,Georgia,2009,4829
46,13183,Long County,Georgia,2009,4506
47,13185,Lowndes County,Georgia,2009,44380
48,13187,Lumpkin County,Georgia,2009,11027
49,13189,McDuffie County,Georgia,2009,9312
50,13191,McIntosh County,Georgia,2009,6718
51,13193,Macon County,Georgia,2009,5684
52,13195,Madison County,Georgia,2009,11789
53,13197,Marion County,Georgia,2009,3247
54,13199,Meriwether County,Georgia,2009,10403
55,13201,Miller County,Georgia,2009,2831
56,13205,Mitchell County,Georgia,2009,9598
57,13207,Monroe County,Georgia,2009,10061
58,13209,Montgomery County,Georgia,2009,3817
59,13211,Morgan County,Georgia,2009,7525
60,13213,Murray County,Georgia,2009,16076
61,13215,Muscogee County,Georgia,2009,82780
62,13217,Newton County,Georgia,2009,36241
63,13219,Oconee County,Georgia,2009,12356
64,13221,Oglethorpe County,Georgia,2009,6216
65,13223,Paulding County,Georgia,2009,49060
66,13225,Peach County,Georgia,2009,10584
67,13227,Pickens County,Georgia,2009,13849
68,13229,Pierce County,Georgia,2009,7589
69,13231,Pike County,Georgia,2009,6670
70,13233,Polk County,Georgia,2009,16941
71,13235,Pulaski County,Georgia,2009,4382
72,13237,Putnam County,Georgia,2009,12367
73,13239,Quitman County,Georgia,2009,1920
74,13241,Rabun County,Georgia,2009,12609
75,13243,Randolph County,Georgia,2009,3427
76,13245,Richmond County,Georgia,2009,86835
77,13247,Rockdale County,Georgia,2009,30802
78,13249,Schley County,Georgia,2009,1887
79,13251,Screven County,Georgia,2009,7483
80,13253,Seminole County,Georgia,2009,4950
81,13255,Spalding County,Georgia,2009,26174
82,13257,Stephens County,Georgia,2009,12465
83,13259,Stewart County,Georgia,2009,2067
84,13261,Sumter County,Georgia,2009,14287
85,13263,Talbot County,Georgia,2009,3108
86,13265,Taliaferro County,Georgia,2009,1062
87,13267,Tattnall County,Georgia,2009,8899
88,13269,Taylor County,Georgia,2009,4233
89,13271,Telfair County,Georgia,2009,5183
90,13273,Terrell County,Georgia,2009,4711
91,13275,Thomas County,Georgia,2009,20073
92,13277,Tift County,Georgia,2009,16359
93,13279,Toombs County,Georgia,2009,11882
94,13281,Towns County,Georgia,2009,8200
95,13283,Treutlen County,Georgia,2009,2910
96,13285,Troup County,Georgia,2009,26972
97,13287,Turner County,Georgia,2009,4013
98,13289,Twiggs County,Georgia,2009,4486
99,13291,Union County,Georgia,2009,13217
100,13293,Upson County,Georgia,2009,12341
101,13295,Walker County,Georgia,2009,28727
102,13297,Walton County,Georgia,2009,31218
103,13299,Ware County,Georgia,2009,16521
104,13301,Warren County,Georgia,2009,2830
105,13303,Washington County,Georgia,2009,8618
106,13305,Wayne County,Georgia,2009,11137
107,13307,Webster County,Georgia,2009,1144
108,13309,Wheeler County,Georgia,2009,2155
109,13311,White County,Georgia,2009,11804
110,13313,Whitfield County,Georgia,2009,35149
111,13315,Wilcox County,Georgia,2009,3404
112,13317,Wilkes County,Georgia,2009,5217
113,13319,Wilkinson County,Georgia,2009,4591
114,13321,Worth County,Georgia,2009,9550
115,15001,Hawaii County,Hawaii,2009,76893
116,15003,Honolulu County,Hawaii,2009,334469
