,GeoFIPS,GeoName,year,personal_income,county_name,state_alpha
0,01001,"Autauga, AL",2005,1440795,Autauga,AL
1,01003,"Baldwin, AL",2005,5272521,Baldwin,AL
2,01005,"Barbour, AL",2005,665248,Barbour,AL
3,01007,"Bibb, AL",2005,468895,Bibb,AL
4,01009,"Blount, AL",2005,1340387,Blount,AL
5,01011,"Bullock, AL",2005,201420,Bullock,AL
6,01013,"Butler, AL",2005,507419,Butler,AL
7,01015,"Calhoun, AL",2005,3143140,Calhoun,AL
8,01017,"Chambers, AL",2005,853196,Chambers,AL
9,01019,"Cherokee, AL",2005,578906,Cherokee,AL
10,01021,"Chilton, AL",2005,1025466,Chilton,AL
11,01023,"Choctaw, AL",2005,319762,Choctaw,AL
12,01025,"Clarke, AL",2005,635462,Clarke,AL
13,01027,"Clay, AL",2005,363221,Clay,AL
14,01029,"Cleburne, AL",2005,350893,Cleburne,AL
15,01031,"Coffee, AL",2005,1357952,Coffee,AL
16,01033,"Colbert, AL",2005,1444778,Colbert,AL
17,01035,"Conecuh, AL",2005,307114,Conecuh,AL
18,01037,"Coosa, AL",2005,272081,Coosa,AL
19,01039,"Covington, AL",2005,917467,Covington,AL
20,01041,"Crenshaw, AL",2005,371135,Crenshaw,AL
21,01043,"Cullman, AL",2005,2190108,Cullman,AL
22,01045,"Dale, AL",2005,1406701,Dale,AL
23,01047,"Dallas, AL",2005,1072755,Dallas,AL
24,01049,"DeKalb, AL",2005,1607487,DeKalb,AL
25,01051,"Elmore, AL",2005,2113980,Elmore,AL
26,01053,"Escambia, AL",2005,854634,Escambia,AL
27,01055,"Etowah, AL",2005,2675577,Etowah,AL
28,01057,"Fayette, AL",2005,395896,Fayette,AL
29,01059,"Franklin, AL",2005,767515,Franklin,AL
30,01061,"Geneva, AL",2005,654252,Geneva,AL
31,01063,"Greene, AL",2005,227431,Greene,AL
32,01065,"Hale, AL",2005,388647,Hale,AL
33,01067,"Henry, AL",2005,437619,Henry,AL
34,01069,"Houston, AL",2005,2954106,Houston,AL
35,01071,"Jackson, AL",2005,1408185,Jackson,AL
36,01073,"Jefferson, AL",2005,24666762,Jefferson,AL
37,01075,"Lamar, AL",2005,336204,Lamar,AL
38,01077,"Lauderdale, AL",2005,2416986,Lauderdale,AL
39,01079,"Lawrence, AL",2005,827223,Lawrence,AL
40,01081,"Lee, AL",2005,3274536,Lee,AL
41,01083,"Limestone, AL",2005,1959684,Limestone,AL
42,01085,"Lowndes, AL",2005,300574,Lowndes,AL
43,01087,"Macon, AL",2005,465513,Macon,AL
44,01089,"Madison, AL",2005,10710413,Madison,AL
45,01091,"Marengo, AL",2005,576824,Marengo,AL
46,01093,"Marion, AL",2005,718412,Marion,AL
47,01095,"Marshall, AL",2005,2295876,Marshall,AL
48,01097,"Mobile, AL",2005,10817448,Mobile,AL
49,01099,"Monroe, AL",2005,566994,Monroe,AL
50,01101,"Montgomery, AL",2005,7580035,Montgomery,AL
51,01103,"Morgan, AL",2005,3340029,Morgan,AL
52,01105,"Perry, AL",2005,244746,Perry,AL
53,01107,"Pickens, AL",2005,520778,Pickens,AL
54,01109,"Pike, AL",2005,838266,Pike,AL
55,01111,"Randolph, AL",2005,536713,Randolph,AL
56,01113,"Russell, AL",2005,1218655,Russell,AL
57,01115,"St. Clair, AL",2005,1984414,St. Clair,AL
58,01117,"Shelby, AL",2005,7046598,Shelby,AL
59,01119,"Sumter, AL",2005,291499,Sumter,AL
60,01121,"Talladega, AL",2005,2057713,Talladega,AL
61,01123,"Tallapoosa, AL",2005,1100514,Tallapoosa,AL
62,01125,"Tuscaloosa, AL",2005,5183104,Tuscaloosa,AL
63,01127,"Walker, AL",2005,1946250,Walker,AL
