,GeoFIPS,GeoName,county_name,state_alpha,year,GDP_PI
0,1001,"Autauga, AL",Autauga,AL,2001,664472.0
1,1003,"Baldwin, AL",Baldwin,AL,2001,2747962.0
2,1005,"Barbour, AL",Barbour,AL,2001,553608.0
3,1007,"Bibb, AL",Bibb,AL,2001,161083.0
4,1009,"Blount, AL",Blount,AL,2001,535973.0
5,1011,"Bullock, AL",Bullock,AL,2001,140416.0
6,1013,"Butler, AL",Butler,AL,2001,315883.0
7,1015,"Calhoun, AL",Calhoun,AL,2001,2126028.0
8,1017,"Chambers, AL",Chambers,AL,2001,634407.0
9,1019,"Cherokee, AL",Cherokee,AL,2001,257864.0
10,1021,"Chilton, AL",Chilton,AL,2001,428205.0
11,1023,"Choctaw, AL",Choctaw,AL,2001,484343.0
12,1025,"Clarke, AL",Clarke,AL,2001,453821.0
13,1027,"Clay, AL",Clay,AL,2001,213926.0
14,1029,"Cleburne, AL",Cleburne,AL,2001,218803.0
15,1031,"Coffee, AL",Coffee,AL,2001,680993.0
16,1033,"Colbert, AL",Colbert,AL,2001,1098788.0
17,1035,"Conecuh, AL",Conecuh,AL,2001,204788.0
18,1037,"Coosa, AL",Coosa,AL,2001,119641.0
19,1039,"Covington, AL",Covington,AL,2001,685886.0
20,1041,"Crenshaw, AL",Crenshaw,AL,2001,188293.0
21,1043,"Cullman, AL",Cullman,AL,2001,1464327.0
22,1045,"Dale, AL",Dale,AL,2001,807729.0
23,1047,"Dallas, AL",Dallas,AL,2001,852012.0
24,1049,"DeKalb, AL",DeKalb,AL,2001,1262255.0
25,1051,"Elmore, AL",Elmore,AL,2001,731977.0
26,1053,"Escambia, AL",Escambia,AL,2001,737928.0
27,1055,"Etowah, AL",Etowah,AL,2001,1824224.0
28,1057,"Fayette, AL",Fayette,AL,2001,242181.0
29,1059,"Franklin, AL",Franklin,AL,2001,505441.0
30,1061,"Geneva, AL",Geneva,AL,2001,302965.0
31,1063,"Greene, AL",Greene,AL,2001,172666.0
32,1065,"Hale, AL",Hale,AL,2001,159407.0
33,1067,"Henry, AL",Henry,AL,2001,222724.0
34,1069,"Houston, AL",Houston,AL,2001,2657361.0
35,1071,"Jackson, AL",Jackson,AL,2001,1016232.0
36,1073,"Jefferson, AL",Jefferson,AL,2001,25478014.0
37,1075,"Lamar, AL",Lamar,AL,2001,252291.0
38,1077,"Lauderdale, AL",Lauderdale,AL,2001,1412552.0
39,1079,"Lawrence, AL",Lawrence,AL,2001,478753.0
40,1081,"Lee, AL",Lee,AL,2001,1655480.0
41,1083,"Limestone, AL",Limestone,AL,2001,1541322.0
42,1085,"Lowndes, AL",Lowndes,AL,2001,245819.0
