,GeoFIPS,GeoName,county_name,state_alpha,GDP_PI_2001,GDP_PI_2002,GDP_PI_2003,GDP_PI_2004,GDP_PI_2005,GDP_PI_2006,GDP_PI_2007,GDP_PI_2008,GDP_PI_2009,GDP_PI_2010,GDP_PI_2011,GDP_PI_2012,GDP_PI_2013,GDP_PI_2014,GDP_PI_2015,GDP_PI_2016,GDP_PI_2017,GDP_PI_2018,GDP_PI_2019,GDP_PI_2020,GDP_PI_2021,GDP_PI_2022,GDP_PI_2023,GDP_PI_2024
0,1001,"Autauga, AL",Autauga,AL,664472,689654,713046,845920,870996,962683,1007646,932747,984988,1073917,1161091,1367097,1292184,1332613,1469139,1556140,1520824,1582791,1574667,1612691,1725544,2025244,2197843,2016179
1,1003,"Baldwin, AL",Baldwin,AL,2747962,2969499,3205661,3631195,4210190,4520727,4750144,4624648,4482265,4574013,4557490,4734251,5116926,5357555,5781395,6244667,6614034,7123618,7706721,7848051,8872736,10162895,11588951,12225374
2,1005,"Barbour, AL",Barbour,AL,553608,548419,570777,643970,648062,640671,629111,599804,604510,623954,597145,594398,698374,664409,649115,643224,644416,668470,668800,656103,739539,801363,807617,839585
3,1007,"Bibb, AL",Bibb,AL,161083,166252,180370,199765,207732,213002,231159,234503,226658,256440,268511,276425,288194,295673,288892,301786,315532,317302,370385,399191,427752,467217,505693,519242
4,1009,"Blount, AL",Blount,AL,535973,548207,580813,617286,635634,624020,629857,652245,650650,655728,631332,720618,740210,784212,840717,776507,835258,907303,894275,803815,985644,1087372,1190537,1329509
5,1011,"Bullock, AL",Bullock,AL,140416,148526,150187,152537,149451,157803,150734,154533,181874,174387,174645,198577,183589,172241,170261,192897,198161,210587,224664,235318,246481,259072,301284,318404
6,1013,"Butler, AL",Butler,AL,315883,330535,354432,388446,384404,385997,420651,410855,379778,460162,486482,487470,505845,518305,539609,530665,562288,598276,589672,564705,669691,745987,773964,821687
7,1015,"Calhoun, AL",Calhoun,AL,2126028,2213621,2326669,2592885,2763445,2815064,2927567,3031345,2860063,3076518,2922125,3066678,3082069,2991060,2995478,3066939,3147211,3322368,3549834,3481859,3965042,4302954,4664473,4871024
8,1017,"Chambers, AL",Chambers,AL,634407,663995,600039,665010,635523,613872,612073,530623,512578,565367,633294,636819,685971,658969,706622,734927,737283,780082,812450,771973,799430,858798,989431,1069873
9,1019,"Cherokee, AL",Cherokee,AL,257864,258304,276233,310817,302784,323776,345661,364219,330178,360863,380171,404711,449937,448384,466995,460818,466039,504662,496992,463972,559850,626542,637700,678164
10,1021,"Chilton, AL",Chilton,AL,428205,450437,478706,531420,556784,580288,595744,565598,561141,585749,646397,696407,759283,726473,781688,825165,844168,911696,1013480,993789,1103303,1242366,1359697,1470978
11,1023,"Choctaw, AL",Choctaw,AL,484343,417121,388782,455922,522783,587377,502773,507626,323960,361323,414961,515713,535764,531383,502273,492592,519936,581896,538409,530750,585032,625676,659472,688781
12,1025,"Clarke, AL",Clarke,AL,453821,458965,466939,534373,576780,626656,621121,605286,594838,579736,597194,648966,700007,684869,676768,685985,686605,742500,740546,772495,866212,903094,952364,972393
13,1027,"Clay, AL",Clay,AL,213926,221058,205968,234405,267550,301632,250436,230226,216434,224377,205492,222172,251459,265354,283068,302877,332670,409058,381194,390489,413036,472765,469621,501910
14,1029,"Cleburne, AL",Cleburne,AL,218803,175097,175120,197799,210581,202865,193359,210114,179485,197882,182700,209215,228549,253463,261462,244039,245419,258514,236283,227614,301316,354093,355810,389367
15,1031,"Coffee, AL",Coffee,AL,680993,692750,710090,798750,831747,821145,878832,918762,952705,991264,948039,1000530,1040049,1105546,1195992,1207915,1220441,1263923,1269015,1265075,1544783,1764903,1849343,2028521
16,1033,"Colbert, AL",Colbert,AL,1098788,1102256,1232243,1399963,1503047,1610531,1636861,1721772,1486430,1728601,1919684,1954109,2239669,2205028,2204335,2095360,2055941,2242357,2247031,2177774,2394972,2747970,2905825,2950230
17,1035,"Conecuh, AL",Conecuh,AL,204788,205690,213149,245428,306480,371889,405888,479844,342211,344230,413657,448303,485945,416743,333208,370314,386174,381562,351296,303908,395251,448159,431127,442546
18,1037,"Coosa, AL",Coosa,AL,119641,118651,114447,123559,137749,151296,142281,127083,130763,129568,136942,129841,146025,138668,149278,161335,158212,170174,172335,165402,174928,201193,213340,222277
19,1039,"Covington, AL",Covington,AL,685886,725933,704934,801476,796819,817493,832198,831994,841254,914381,877394,949670,1014149,1030732,1039464,1044708,1097744,1129689,1101252,1123570,1266469,1340263,1401464,1469519
20,1041,"Crenshaw, AL",Crenshaw,AL,188293,178087,202492,243818,283553,289285,270849,273957,260765,316495,314627,371780,411672,386656,401798,364035,396811,430847,425405,336914,394552,479445,501085,546433
21,1043,"Cullman, AL",Cullman,AL,1464327,1460483,1560712,1772297,1866381,1854912,1796103,1790522,1807490,1878827,1916662,2023351,2248437,2280045,2473468,2448254,2512652,2573467,2697797,2638471,3040072,3507865,3625669,3849852
22,1045,"Dale, AL",Dale,AL,807729,857421,915848,1073867,1259421,1355543,1343301,1351638,1437531,1591889,1510369,1500692,1633073,1510024,1605599,1557476,1524482,1493303,1546353,1498523,1685894,1859186,1975396,2093580
23,1047,"Dallas, AL",Dallas,AL,852012,829641,832114,920648,985793,1035221,1006915,965992,955674,955697,973212,1019957,1062497,1071279,983625,1026985,1061500,1090585,1116927,1117746,1207393,1331454,1437171,1501913
24,1049,"DeKalb, AL",DeKalb,AL,1262255,1273784,1310703,1460315,1422447,1479426,1467924,1428879,1367097,1417461,1293255,1355654,1601211,1611705,1692458,1621419,1730441,1833208,1811158,1723729,2044631,2444412,2496455,2683960
25,1051,"Elmore, AL",Elmore,AL,731977,805112,882935,1018366,1098222,1134747,1209990,1238280,1289212,1355573,1319002,1415013,1445555,1429901,1479818,1559590,1606755,1684611,1752088,1741653,1944369,2093607,2406232,2657665
26,1053,"Escambia, AL",Escambia,AL,737928,727240,765666,877294,1002817,1046141,1108200,1104407,891479,920137,927332,948959,990087,958441,905511,941323,982534,1004835,993971,934381,1060848,1199004,1267984,1290352
27,1055,"Etowah, AL",Etowah,AL,1824224,1893885,1952327,2115619,2184459,2168043,2183981,2211119,2251957,2279756,2330376,2323900,2428876,2473291,2638570,2694151,2696367,2781893,2777135,2599637,2822942,3090991,3314986,3528188
28,1057,"Fayette, AL",Fayette,AL,242181,226990,236218,257698,269389,268562,255858,344844,338884,406385,377250,378689,320299,263427,274240,275409,265307,269488,278225,277432,311608,337047,370768,382446
29,1059,"Franklin, AL",Franklin,AL,505441,495865,538805,617596,642335,605832,626282,614013,601699,637982,711944,752347,798800,739370,758776,760716,826032,897156,871031,808636,912914,1067617,1057990,1149290
30,1061,"Geneva, AL",Geneva,AL,302965,305450,318267,332187,349120,349695,375190,388638,370324,388150,359826,382637,423277,429994,453018,462839,430154,448018,489349,492788,560423,632486,673518,705026
31,1063,"Greene, AL",Greene,AL,172666,170811,189066,222693,244009,250894,258852,228757,215297,221254,278009,236478,239018,221083,195107,185183,173510,177981,193212,179939,183980,210014,236049,242035
32,1065,"Hale, AL",Hale,AL,159407,173239,206276,230744,238290,255249,224157,218413,203301,222012,224399,229612,237849,232655,237540,248301,233640,213927,218328,234956,241394,256863,288313,310421
33,1067,"Henry, AL",Henry,AL,222724,245544,237632,254159,279432,282993,267330,271153,256367,251530,268905,271492,310338,312565,339091,352888,370078,386586,404972,419830,488432,546402,568780,607482
34,1069,"Houston, AL",Houston,AL,2657361,2748418,2852943,3043236,3154176,3336005,3426473,3365255,3339271,3359808,3426290,3558242,3795945,3957984,4123633,4411640,4625774,4761530,5012832,5258182,5863394,6403590,6910920,7130266
35,1071,"Jackson, AL",Jackson,AL,1016232,1009511,1009961,1173132,1240634,1276887,1293433,1282951,1153212,1220167,1198923,1247317,1322730,1327684,1266189,1255133,1275052,1387053,1374884,1302518,1458404,1649346,1775135,1838733
36,1073,"Jefferson, AL",Jefferson,AL,25478014,26670645,27400200,29821202,31470124,32229479,32928230,33605025,31575655,32484579,34093022,35457218,35256630,35687460,36460776,37363622,38689975,40582200,41917221,42031416,46707614,51396124,55193624,57479529
37,1075,"Lamar, AL",Lamar,AL,252291,237441,228273,254975,278938,275311,272063,255417,223687,231179,247703,271430,274898,281946,282284,290505,300675,308352,314104,313235,350122,372708,402551,420222
38,1077,"Lauderdale, AL",Lauderdale,AL,1412552,1412762,1467282,1606539,1703398,1772125,1818594,1824108,1842525,1916449,1974407,2090280,2166401,2133670,2156966,2167262,2236948,2286903,2330775,2369245,2649919,2934508,3164283,3374760
39,1079,"Lawrence, AL",Lawrence,AL,478753,478395,593705,803574,526647,487410,632900,664561,776709,785696,722830,693746,627632,541835,442170,396680,426910,461541,475058,493894,569550,673596,767382,725452
40,1081,"Lee, AL",Lee,AL,1655480,1785988,1929523,2215023,2423807,2624745,2762918,2876828,2860422,3008686,3285636,3575995,3678947,3805815,4145312,4369161,4632113,4672110,4998220,4943990,5673142,6087188,6877615,7157441
41,1083,"Limestone, AL",Limestone,AL,1541322,1572696,1737477,1865353,1951936,2090497,2060785,2121351,1994561,2200443,2286957,2414122,2517941,2568957,2670828,2772730,2951979,2997241,3438000,3538402,4429667,5011982,5705242,5972111
42,1085,"Lowndes, AL",Lowndes,AL,245819,209248,258670,301838,291218,327803,353826,323035,335905,399753,443009,413850,415666,416567,377429,388302,395438,391686,357315,349922,389304,435320,456590,488661
43,1087,"Macon, AL",Macon,AL,130515,139297,147515,177912,195449,212148,222305,228425,231992,216585,226609,223592,259269,244609,225356,267524,293606,291066,299028,278720,292714,321569,386117,418309
