,county_name,year,GDP_PI,rent_50_0,rent_50_1,rent_50_2,rent_50_3,rent_50_4,housing_units,personal_income
0,ALBANY,2001,13068721,444,547,672,844,943,133501,11476555
1,ALBANY,2002,13424897,444,547,672,844,943,133501,11476555
2,ALBANY,2003,14257327,444,547,672,844,943,133501,11476555
3,ALBANY,2004,14897956,444,548,673,844,943,133501,11476555
4,ALBANY,2005,15541573,569,600,719,862,927,133501,11476555
5,ALBANY,2006,16119470,594,629,757,914,1001,133501,11990809
6,ALBANY,2007,16501480,625,661,796,962,1052,133501,12416803
7,ALBANY,2008,16918312,707,749,901,1088,1191,133501,13157307
8,ALBANY,2009,18147347,721,764,919,1110,1215,133501,13412590
9,ALBANY,2010,18187281,727,770,926,1119,1224,136810,14003474
10,ALBANY,2011,18850240,749,793,954,1152,1261,137299,14598320
11,ALBANY,2012,19659397,733,760,928,1111,1214,137426,15121745
12,ALBANY,2013,20211464,697,789,977,1217,1306,137583,15337648
13,ALBANY,2014,21841531,704,797,987,1229,1319,137859,16123733
14,ALBANY,2015,23023945,733,830,1028,1280,1374,138081,16695928
15,ALBANY,2016,24100523,730,876,1070,1328,1467,138448,16746709
16,ALBANY,2017,24496638,734,870,1071,1340,1476,140088,17925152
17,ALBANY,2018,25255965,747,894,1102,1382,1501,140830,18084599
18,ALBANY,2019,26857892,821,966,1192,1493,1611,141553,19434199
19,ALBANY,2020,27426647,806,922,1136,1416,1539,142246,21202012
20,ALBANY,2021,29886186,873,984,1205,1499,1634,145388,23311013
21,ALBANY,2022,31890300,873,984,1205,1499,1634,146137,23390947
22,ALBANY,2023,33986072,1045,1166,1418,1726,1905,146959,23390947
23,ALBANY,2024,34916727,1087,1216,1477,1786,1967,146959,23390947
24,ALBANY,2025,34916727,1162,1331,1609,1939,2133,146959,23390947
25,ALBANY,2026,34916727,1328,1545,1856,2225,2457,146959,23390947
26,ALLEGANY,2001,689784,399,447,537,695,794,25047,1148267
27,ALLEGANY,2002,725033,399,447,537,695,794,25047,1148267
28,ALLEGANY,2003,759633,399,447,537,695,794,25047,1148267
