,county_name,year,GDP_PI,housing_units,personal_income,house_size,rent,rent_growth
0,ALBANY,2001,13068721,133501,11476555,0,444,
1,ALBANY,2002,13424897,133501,11476555,0,444,0
2,ALBANY,2003,14257327,133501,11476555,0,444,0
3,ALBANY,2004,14897956,133501,11476555,0,444,0
4,ALBANY,2005,15541573,133501,11476555,0,569,0.281531532
5,ALBANY,2006,16119470,133501,11990809,0,594,0.043936731
6,ALBANY,2007,16501480,133501,12416803,0,625,0.052188552
7,ALBANY,2008,16918312,133501,13157307,0,707,0.1312
8,ALBANY,2009,18147347,133501,13412590,0,721,0.01980198
9,ALBANY,2010,18187281,136810,14003474,0,727,0.008321775
10,ALBANY,2011,18850240,137299,14598320,0,749,0.030261348
11,ALBANY,2012,19659397,137426,15121745,0,733,-0.021361816
12,ALBANY,2013,20211464,137583,15337648,0,697,-0.049113233
13,ALBANY,2014,21841531,137859,16123733,0,704,0.010043042
14,ALBANY,2015,23023945,138081,16695928,0,733,0.041193182
15,ALBANY,2016,24100523,138448,16746709,0,730,-0.004092769
16,ALBANY,2017,24496638,140088,17925152,0,734,0.005479452
17,ALBANY,2018,25255965,140830,18084599,0,747,0.017711172
18,ALBANY,2019,26857892,141553,19434199,0,821,0.099062918
19,ALBANY,2020,27426647,142246,21202012,0,806,-0.018270402
20,ALBANY,2021,29886186,145388,23311013,0,873,0.083126551
21,ALBANY,2022,31890300,146137,23390947,0,873,0
22,ALBANY,2023,33986072,146959,23390947,0,1045,0.197021764
23,ALBANY,2024,34916727,146959,23390947,0,1087,0.040191388
24,ALBANY,2025,34916727,146959,23390947,0,1162,0.06899724
25,ALBANY,2026,34916727,146959,23390947,0,1328,0.142857143
1691,ALBANY,2001,13068721,133501,11476555,1,547,
1692,ALBANY,2002,13424897,133501,11476555,1,547,0
1693,ALBANY,2003,14257327,133501,11476555,1,547,0
1694,ALBANY,2004,14897956,133501,11476555,1,548,0.001828154
1695,ALBANY,2005,15541573,133501,11476555,1,600,0.094890511
1696,ALBANY,2006,16119470,133501,11990809,1,629,0.048333333
1697,ALBANY,2007,16501480,133501,12416803,1,661,0.050874404
1698,ALBANY,2008,16918312,133501,13157307,1,749,0.133131619
1699,ALBANY,2009,18147347,133501,13412590,1,764,0.020026702
1700,ALBANY,2010,18187281,136810,14003474,1,770,0.007853403
1701,ALBANY,2011,18850240,137299,14598320,1,793,0.02987013
1702,ALBANY,2012,19659397,137426,15121745,1,760,-0.041614124
1703,ALBANY,2013,20211464,137583,15337648,1,789,0.038157895
1704,ALBANY,2014,21841531,137859,16123733,1,797,0.010139417
1705,ALBANY,2015,23023945,138081,16695928,1,830,0.04140527
1706,ALBANY,2016,24100523,138448,16746709,1,876,0.055421687
1707,ALBANY,2017,24496638,140088,17925152,1,870,-0.006849315
1708,ALBANY,2018,25255965,140830,18084599,1,894,0.027586207
