,state_code,county_code,county_sub_code,cntyname,town_name,hud_areaname,fips,rent_50_0,rent_50_1,rent_50_2,rent_50_3,rent_50_4,hud_area_code,pop2023,state_alpha,year,population,cbsasub21,county,cousub,pop2017,hu2017,cbsasub20,cbsasub19,pop2010,hu2010,cbsasub18,areaname18,cbsasub,pop,fmr_area,msa,stco,fmrtype,statename,fmrarea,id_agis2,pop2020,areaname22,cbsasub22
17,36,1,99999,Albany County,,"Albany-Schenectady-Troy, NY MSA",3600199999,1328.0,1545.0,1856.0,2225.0,2457.0,METRO10580M10580,315041.0,NY,2026,,,,,,,,,,,,,,,,,,,,,,,,
18,36,83,99999,Rensselaer County,,"Albany-Schenectady-Troy, NY MSA",3608399999,1328.0,1545.0,1856.0,2225.0,2457.0,METRO10580M10580,160943.0,NY,2026,,,,,,,,,,,,,,,,,,,,,,,,
19,36,91,99999,Saratoga County,,"Albany-Schenectady-Troy, NY MSA",3609199999,1328.0,1545.0,1856.0,2225.0,2457.0,METRO10580M10580,236328.0,NY,2026,,,,,,,,,,,,,,,,,,,,,,,,
20,36,93,99999,Schenectady County,,"Albany-Schenectady-Troy, NY MSA",3609399999,1328.0,1545.0,1856.0,2225.0,2457.0,METRO10580M10580,159447.0,NY,2026,,,,,,,,,,,,,,,,,,,,,,,,
21,36,95,99999,Schoharie County,,"Albany-Schenectady-Troy, NY MSA",3609599999,1328.0,1545.0,1856.0,2225.0,2457.0,METRO10580M10580,29970.0,NY,2026,,,,,,,,,,,,,,,,,,,,,,,,
236,36,7,99999,Broome County,,"Binghamton, NY MSA",3600799999,811.0,917.0,1165.0,1492.0,1713.0,METRO13780M13780,198365.0,NY,2026,,,,,,,,,,,,,,,,,,,,,,,,
237,36,107,99999,Tioga County,,"Binghamton, NY MSA",3610799999,811.0,917.0,1165.0,1492.0,1713.0,METRO13780M13780,48344.0,NY,2026,,,,,,,,,,,,,,,,,,,,,,,,
493,36,29,99999,Erie County,,"Buffalo-Cheektowaga, NY MSA",3602999999,1196.0,1233.0,1453.0,1775.0,2023.0,METRO15380M15380,951232.0,NY,2026,,,,,,,,,,,,,,,,,,,,,,,,
494,36,63,99999,Niagara County,,"Buffalo-Cheektowaga, NY MSA",3606399999,1196.0,1233.0,1453.0,1775.0,2023.0,METRO15380M15380,212230.0,NY,2026,,,,,,,,,,,,,,,,,,,,,,,,
726,36,15,99999,Chemung County,,"Elmira, NY MSA",3601599999,1021.0,1052.0,1380.0,1727.0,1842.0,METRO21300M21300,83584.0,NY,2026,,,,,,,,,,,,,,,,,,,,,,,,
766,36,113,99999,Warren County,,"Glens Falls, NY MSA",3611399999,1092.0,1119.0,1415.0,1829.0,1874.0,METRO24020M24020,65684.0,NY,2026,,,,,,,,,,,,,,,,,,,,,,,,
767,36,115,99999,Washington County,,"Glens Falls, NY MSA",3611599999,1092.0,1119.0,1415.0,1829.0,1874.0,METRO24020M24020,61310.0,NY,2026,,,,,,,,,,,,,,,,,,,,,,,,
920,36,109,99999,Tompkins County,,"Ithaca, NY MSA",3610999999,1391.0,1613.0,1930.0,2314.0,2889.0,METRO27060M27060,102555.0,NY,2026,,,,,,,,,,,,,,,,,,,,,,,,
983,36,111,99999,Ulster County,,"Kingston, NY MSA",3611199999,1439.0,1530.0,2007.0,2479.0,2657.0,METRO28740M28740,182153.0,NY,2026,,,,,,,,,,,,,,,,,,,,,,,,
984,36,27,99999,Dutchess County,,"Kiryas Joel-Poughkeepsie-Newburgh, NY MSA",3602799999,1491.0,1693.0,2163.0,2745.0,2945.0,METRO28880M28880,296467.0,NY,2026,,,,,,,,,,,,,,,,,,,,,,,,
985,36,71,99999,Orange County,,"Kiryas Joel-Poughkeepsie-Newburgh, NY MSA",3607199999,1491.0,1693.0,2163.0,2745.0,2945.0,METRO28880M28880,401237.0,NY,2026,,,,,,,,,,,,,,,,,,,,,,,,
1248,36,59,99999,Nassau County,,"Nassau-Suffolk, NY HUD Metro FMR Area",3605999999,2168.0,2589.0,2989.0,3877.0,4100.0,METRO35620MM5380,1389160.0,NY,2026,,,,,,,,,,,,,,,,,,,,,,,,
1249,36,103,99999,Suffolk County,,"Nassau-Suffolk, NY HUD Metro FMR Area",3610399999,2168.0,2589.0,2989.0,3877.0,4100.0,METRO35620MM5380,1524486.0,NY,2026,,,,,,,,,,,,,,,,,,,,,,,,
1250,36,5,99999,Bronx County,,"New York, NY HUD Metro FMR Area",3600599999,2777.0,2916.0,3196.0,4002.0,4348.0,METRO35620MM5600,1443229.0,NY,2026,,,,,,,,,,,,,,,,,,,,,,,,
1251,36,47,99999,Kings County,,"New York, NY HUD Metro FMR Area",3604799999,2777.0,2916.0,3196.0,4002.0,4348.0,METRO35620MM5600,2679620.0,NY,2026,,,,,,,,,,,,,,,,,,,,,,,,
1252,36,61,99999,New York County,,"New York, NY HUD Metro FMR Area",3606199999,2777.0,2916.0,3196.0,4002.0,4348.0,METRO35620MM5600,1645867.0,NY,2026,,,,,,,,,,,,,,,,,,,,,,,,
1253,36,79,99999,Putnam County,,"New York, NY HUD Metro FMR Area",3607999999,2777.0,2916.0,3196.0,4002.0,4348.0,METRO35620MM5600,97942.0,NY,2026,,,,,,,,,,,,,,,,,,,,,,,,
