,GeoFIPS,GeoName,year,personal_income,county_name,state_alpha
1862,36001,"Albany, NY",2005,11476555,Albany,NY
1863,36003,"Allegany, NY",2005,1148267,Allegany,NY
1864,36005,"Bronx, NY",2005,32553078,Bronx,NY
1865,36007,"Broome, NY",2005,5678460,Broome,NY
1866,36009,"Cattaraugus, NY",2005,2193492,Cattaraugus,NY
1867,36011,"Cayuga, NY",2005,2185755,Cayuga,NY
1868,36013,"Chautauqua, NY",2005,3445350,Chautauqua,NY
1869,36015,"Chemung, NY",2005,2518074,Chemung,NY
1870,36017,"Chenango, NY",2005,1322410,Chenango,NY
1871,36019,"Clinton, NY",2005,2325003,Clinton,NY
1872,36021,"Columbia, NY",2005,2176213,Columbia,NY
1873,36023,"Cortland, NY",2005,1266821,Cortland,NY
1874,36025,"Delaware, NY",2005,1231707,Delaware,NY
1875,36027,"Dutchess, NY",2005,10819629,Dutchess,NY
1876,36029,"Erie, NY",2005,29958058,Erie,NY
1877,36031,"Essex, NY",2005,1078053,Essex,NY
1878,36033,"Franklin, NY",2005,1248691,Franklin,NY
1879,36035,"Fulton, NY",2005,1541627,Fulton,NY
1880,36037,"Genesee, NY",2005,1740390,Genesee,NY
1881,36039,"Greene, NY",2005,1400450,Greene,NY
1882,36041,"Hamilton, NY",2005,157529,Hamilton,NY
1883,36043,"Herkimer, NY",2005,1683623,Herkimer,NY
1884,36045,"Jefferson, NY",2005,3564755,Jefferson,NY
1885,36047,"Kings, NY",2005,69932219,Kings,NY
1886,36049,"Lewis, NY",2005,699320,Lewis,NY
1887,36051,"Livingston, NY",2005,1752431,Livingston,NY
1888,36053,"Madison, NY",2005,2059689,Madison,NY
1889,36055,"Monroe, NY",2005,25636966,Monroe,NY
1890,36057,"Montgomery, NY",2005,1451246,Montgomery,NY
1891,36059,"Nassau, NY",2005,74734437,Nassau,NY
1892,36061,"New York, NY",2005,149667224,New York,NY
1893,36063,"Niagara, NY",2005,6295688,Niagara,NY
1894,36065,"Oneida, NY",2005,6753418,Oneida,NY
1895,36067,"Onondaga, NY",2005,15559199,Onondaga,NY
1896,36069,"Ontario, NY",2005,3424986,Ontario,NY
1897,36071,"Orange, NY",2005,12516598,Orange,NY
1898,36073,"Orleans, NY",2005,1094088,Orleans,NY
1899,36075,"Oswego, NY",2005,3172180,Oswego,NY
1900,36077,"Otsego, NY",2005,1696199,Otsego,NY
1901,36079,"Putnam, NY",2005,4495309,Putnam,NY
1902,36081,"Queens, NY",2005,69971722,Queens,NY
1903,36083,"Rensselaer, NY",2005,5055516,Rensselaer,NY
1904,36085,"Richmond, NY",2005,17706396,Richmond,NY
1905,36087,"Rockland, NY",2005,13159796,Rockland,NY
1906,36089,"St. Lawrence, NY",2005,2658676,St. Lawrence,NY
1907,36091,"Saratoga, NY",2005,8427923,Saratoga,NY
1908,36093,"Schenectady, NY",2005,5735921,Schenectady,NY
1909,36095,"Schoharie, NY",2005,845868,Schoharie,NY
1910,36097,"Schuyler, NY",2005,489106,Schuyler,NY
1911,36099,"Seneca, NY",2005,903127,Seneca,NY
1912,36101,"Steuben, NY",2005,2798677,Steuben,NY
1913,36103,"Suffolk, NY",2005,64129624,Suffolk,NY
1914,36105,"Sullivan, NY",2005,2271154,Sullivan,NY
1915,36107,"Tioga, NY",2005,1466970,Tioga,NY
1916,36109,"Tompkins, NY",2005,2851530,Tompkins,NY
1917,36111,"Ulster, NY",2005,5844523,Ulster,NY
1918,36113,"Warren, NY",2005,2132695,Warren,NY
1919,36115,"Washington, NY",2005,1614461,Washington,NY
1920,36117,"Wayne, NY",2005,2721765,Wayne,NY
1921,36119,"Westchester, NY",2005,61428971,Westchester,NY
1922,36121,"Wyoming, NY",2005,1125106,Wyoming,NY
1923,36123,"Yates, NY",2005,658513,Yates,NY
5011,36001,"Albany, NY",2006,11990809,Albany,NY
5012,36003,"Allegany, NY",2006,1180890,Allegany,NY
5013,36005,"Bronx, NY",2006,34893084,Bronx,NY
5014,36007,"Broome, NY",2006,6028388,Broome,NY
5015,36009,"Cattaraugus, NY",2006,2270904,Cattaraugus,NY
5016,36011,"Cayuga, NY",2006,2240103,Cayuga,NY
5017,36013,"Chautauqua, NY",2006,3581452,Chautauqua,NY
5018,36015,"Chemung, NY",2006,2644565,Chemung,NY
5019,36017,"Chenango, NY",2006,1362044,Chenango,NY
5020,36019,"Clinton, NY",2006,2424486,Clinton,NY
5021,36021,"Columbia, NY",2006,2317371,Columbia,NY
5022,36023,"Cortland, NY",2006,1312628,Cortland,NY
5023,36025,"Delaware, NY",2006,1268201,Delaware,NY
5024,36027,"Dutchess, NY",2006,11412295,Dutchess,NY
5025,36029,"Erie, NY",2006,31365187,Erie,NY
5026,36031,"Essex, NY",2006,1131143,Essex,NY
5027,36033,"Franklin, NY",2006,1324576,Franklin,NY
5028,36035,"Fulton, NY",2006,1600734,Fulton,NY
5029,36037,"Genesee, NY",2006,1795781,Genesee,NY
5030,36039,"Greene, NY",2006,1449500,Greene,NY
5031,36041,"Hamilton, NY",2006,160616,Hamilton,NY
5032,36043,"Herkimer, NY",2006,1732363,Herkimer,NY
5033,36045,"Jefferson, NY",2006,3866393,Jefferson,NY
5034,36047,"Kings, NY",2006,74372832,Kings,NY
5035,36049,"Lewis, NY",2006,783999,Lewis,NY
5036,36051,"Livingston, NY",2006,1798225,Livingston,NY
5037,36053,"Madison, NY",2006,2135076,Madison,NY
5038,36055,"Monroe, NY",2006,26642339,Monroe,NY
