,GeoFIPS,GeoName,county_name,state_alpha,year,GDP_PI
1841,36001,"Albany, NY",Albany,NY,2001,13068721.0
1842,36003,"Allegany, NY",Allegany,NY,2001,689784.0
1843,36005,"Bronx, NY",Bronx,NY,2001,17568178.0
1844,36007,"Broome, NY",Broome,NY,2001,5435556.0
1845,36009,"Cattaraugus, NY",Cattaraugus,NY,2001,1574186.0
1846,36011,"Cayuga, NY",Cayuga,NY,2001,1345219.0
1847,36013,"Chautauqua, NY",Chautauqua,NY,2001,3204176.0
1848,36015,"Chemung, NY",Chemung,NY,2001,2051647.0
1849,36017,"Chenango, NY",Chenango,NY,2001,1000314.0
1850,36019,"Clinton, NY",Clinton,NY,2001,2005120.0
1851,36021,"Columbia, NY",Columbia,NY,2001,1305950.0
1852,36023,"Cortland, NY",Cortland,NY,2001,920184.0
1853,36025,"Delaware, NY",Delaware,NY,2001,955003.0
1854,36027,"Dutchess, NY",Dutchess,NY,2001,7427763.0
1855,36029,"Erie, NY",Erie,NY,2001,27860673.0
1856,36031,"Essex, NY",Essex,NY,2001,725391.0
1857,36033,"Franklin, NY",Franklin,NY,2001,666046.0
1858,36035,"Fulton, NY",Fulton,NY,2001,948495.0
1859,36037,"Genesee, NY",Genesee,NY,2001,1286244.0
1860,36039,"Greene, NY",Greene,NY,2001,744928.0
1861,36041,"Hamilton, NY",Hamilton,NY,2001,97220.0
1862,36043,"Herkimer, NY",Herkimer,NY,2001,1100199.0
1863,36045,"Jefferson, NY",Jefferson,NY,2001,1847337.0
1864,36047,"Kings, NY",Kings,NY,2001,36659654.0
1865,36049,"Lewis, NY",Lewis,NY,2001,403331.0
1866,36051,"Livingston, NY",Livingston,NY,2001,836266.0
1867,36053,"Madison, NY",Madison,NY,2001,1225661.0
1868,36055,"Monroe, NY",Monroe,NY,2001,30134511.0
1869,36057,"Montgomery, NY",Montgomery,NY,2001,990284.0
1870,36059,"Nassau, NY",Nassau,NY,2001,52180631.0
1871,36061,"New York, NY",New York,NY,2001,333833008.0
1872,36063,"Niagara, NY",Niagara,NY,2001,5849227.0
1873,36065,"Oneida, NY",Oneida,NY,2001,5281840.0
1874,36067,"Onondaga, NY",Onondaga,NY,2001,16311709.0
1875,36069,"Ontario, NY",Ontario,NY,2001,3260586.0
1876,36071,"Orange, NY",Orange,NY,2001,7651097.0
1877,36073,"Orleans, NY",Orleans,NY,2001,555110.0
1878,36075,"Oswego, NY",Oswego,NY,2001,3860896.0
1879,36077,"Otsego, NY",Otsego,NY,2001,1216775.0
1880,36079,"Putnam, NY",Putnam,NY,2001,1999813.0
1881,36081,"Queens, NY",Queens,NY,2001,45513248.0
1882,36083,"Rensselaer, NY",Rensselaer,NY,2001,2996462.0
1883,36085,"Richmond, NY",Richmond,NY,2001,7811226.0
1884,36087,"Rockland, NY",Rockland,NY,2001,10591550.0
1885,36089,"St. Lawrence, NY",St. Lawrence,NY,2001,2244669.0
1886,36091,"Saratoga, NY",Saratoga,NY,2001,4644500.0
1887,36093,"Schenectady, NY",Schenectady,NY,2001,5155748.0
1888,36095,"Schoharie, NY",Schoharie,NY,2001,465314.0
1889,36097,"Schuyler, NY",Schuyler,NY,2001,250249.0
1890,36099,"Seneca, NY",Seneca,NY,2001,579250.0
1891,36101,"Steuben, NY",Steuben,NY,2001,2675292.0
1892,36103,"Suffolk, NY",Suffolk,NY,2001,44309423.0
1893,36105,"Sullivan, NY",Sullivan,NY,2001,1300877.0
1894,36107,"Tioga, NY",Tioga,NY,2001,816966.0
1895,36109,"Tompkins, NY",Tompkins,NY,2001,3079983.0
1896,36111,"Ulster, NY",Ulster,NY,2001,3313972.0
1897,36113,"Warren, NY",Warren,NY,2001,1942381.0
1898,36115,"Washington, NY",Washington,NY,2001,811597.0
1899,36117,"Wayne, NY",Wayne,NY,2001,1988988.0
1900,36119,"Westchester, NY",Westchester,NY,2001,41069631.0
1901,36121,"Wyoming, NY",Wyoming,NY,2001,611910.0
1902,36123,"Yates, NY",Yates,NY,2001,449375.0
4968,36001,"Albany, NY",Albany,NY,2002,13424897.0
4969,36003,"Allegany, NY",Allegany,NY,2002,725033.0
4970,36005,"Bronx, NY",Bronx,NY,2002,18257046.0
4971,36007,"Broome, NY",Broome,NY,2002,5376605.0
4972,36009,"Cattaraugus, NY",Cattaraugus,NY,2002,1622329.0
4973,36011,"Cayuga, NY",Cayuga,NY,2002,1357396.0
4974,36013,"Chautauqua, NY",Chautauqua,NY,2002,3318739.0
4975,36015,"Chemung, NY",Chemung,NY,2002,2081863.0
4976,36017,"Chenango, NY",Chenango,NY,2002,1009830.0
4977,36019,"Clinton, NY",Clinton,NY,2002,2186217.0
4978,36021,"Columbia, NY",Columbia,NY,2002,1266036.0
4979,36023,"Cortland, NY",Cortland,NY,2002,939026.0
4980,36025,"Delaware, NY",Delaware,NY,2002,1020062.0
4981,36027,"Dutchess, NY",Dutchess,NY,2002,7595011.0
4982,36029,"Erie, NY",Erie,NY,2002,28864938.0
4983,36031,"Essex, NY",Essex,NY,2002,777024.0
4984,36033,"Franklin, NY",Franklin,NY,2002,691478.0
4985,36035,"Fulton, NY",Fulton,NY,2002,994817.0
4986,36037,"Genesee, NY",Genesee,NY,2002,1237329.0
4987,36039,"Greene, NY",Greene,NY,2002,804980.0
4988,36041,"Hamilton, NY",Hamilton,NY,2002,107304.0
4989,36043,"Herkimer, NY",Herkimer,NY,2002,1190950.0
4990,36045,"Jefferson, NY",Jefferson,NY,2002,1931387.0
4991,36047,"Kings, NY",Kings,NY,2002,38422450.0
4992,36049,"Lewis, NY",Lewis,NY,2002,439773.0
4993,36051,"Livingston, NY",Livingston,NY,2002,862975.0
4994,36053,"Madison, NY",Madison,NY,2002,1255230.0
4995,36055,"Monroe, NY",Monroe,NY,2002,31073439.0
4996,36057,"Montgomery, NY",Montgomery,NY,2002,1029288.0
4997,36059,"Nassau, NY",Nassau,NY,2002,53824648.0
4998,36061,"New York, NY",New York,NY,2002,323552145.0
4999,36063,"Niagara, NY",Niagara,NY,2002,6239849.0
5000,36065,"Oneida, NY",Oneida,NY,2002,5470865.0
5001,36067,"Onondaga, NY",Onondaga,NY,2002,16807448.0
5002,36069,"Ontario, NY",Ontario,NY,2002,2762373.0
5003,36071,"Orange, NY",Orange,NY,2002,7905387.0
