SQGDP2 Gross domestic product (GDP) by state 1
SQGDP2 Gross domestic product (GDP) by state 1
State or DC
GeoFIPS,GeoName,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1,2020:Q2,2020:Q3,2020:Q4,2021:Q1,2021:Q2,2021:Q3,2021:Q4,2022:Q1,2022:Q2,2022:Q3,2022:Q4,2023:Q1,2023:Q2,2023:Q3,2023:Q4,2024:Q1,2024:Q2,2024:Q3,2024:Q4,2025:Q1,2025:Q2,2025:Q3
00000,United States *,11082950.0,11221438.0,11422473.0,11584491.0,11839069.0,11973590.0,12065852.0,12211433.0,12360042.0,12526968.0,12664533.0,12791963.0,12756931.0,12895662.0,12903590.0,12590895.0,12409479.0,12339543.0,12395582.0,12581388.0,12676341.0,12867879.0,13026254.0,13187393.0,13220532.0,13415501.0,13503701.0,13704725.0,13918674.0,14054614.0,14156718.0,14240849.0,14451443.0,14518679.0,14735946.0,14956059.0,14946691.0,15253741.0,15520928.0,15608647.0,15740941.0,15940691.0,16049174.0,16073199.0,16154073.0,16327626.0,16492974.0,16677544.0,16853389.0,16997297.0,17228568.0,17545767.0,17807083.0,18031272.0,18223392.0,18329316.0,18519031.0,18788950.0,19076044.0,19255093.0,19023751.0,17289226.0,18991381.0,19351607.0,19924157.0,20637717.0,21146704.0,21962288.0,22370435.0,22958308.0,23394534.0,23792288.0,24186841.0,24462441.0,24949510.0,25252382.0,25477141.0,25871320.0,26193383.0,26464842.0,26639914.0,27051641.0,27629228.0
01000,Alabama,130929.6,132981.0,133724.4,136549.2,138031.6,139356.3,140693.8,140838.8,141146.0,143382.6,145211.5,145436.6,145429.4,146639.6,146417.2,142210.9,140000.8,139032.1,139575.2,141025.4,141843.0,144662.4,148483.9,149213.8,148104.3,149683.2,151592.8,154143.2,155208.1,157236.2,156366.6,156463.4,161033.3,160784.9,162905.4,162379.1,160207.1,163627.4,165701.5,166305.2,166457.7,169018.9,170619.1,170554.6,171549.1,174086.0,174568.6,176300.7,178586.5,179309.1,181330.7,184236.3,187161.2,188627.0,189867.3,192142.8,194065.1,195730.8,197936.2,199276.6,198479.4,180860.5,201961.3,203349.3,211373.0,216596.6,220178.2,228312.3,233043.1,240084.8,246473.3,252987.6,257845.2,260226.4,265718.6,269284.6,269601.8,274613.1,278930.4,282040.3,283929.9,286877.3,293137.5
02000,Alaska,30490.3,31837.5,33522.1,35802.4,35503.2,36986.9,37571.3,38095.7,38764.1,40923.4,41885.5,43340.8,44575.6,47800.5,49290.5,45098.9,42165.7,40645.1,40021.7,41652.3,42871.9,43896.2,44990.8,45601.5,45085.3,47235.8,47241.9,48836.2,48281.4,48446.7,48130.9,47710.8,48060.9,46965.0,48155.4,46962.1,46995.6,47165.9,46533.0,44747.4,41861.5,41850.0,40848.6,40232.1,39471.6,40134.1,40674.0,41349.2,42322.3,42292.3,42842.1,43010.7,43327.2,43188.4,43497.0,43414.6,42685.4,42756.8,43486.4,43609.2,42695.9,36928.6,39859.6,42195.0,44855.0,46387.4,48454.8,51896.7,51318.5,55139.9,54988.2,54089.6,54316.3,54630.1,56532.5,57326.5,56615.2,58624.5,58934.3,59439.6,61260.0,60488.6,61507.3
04000,Arizona,192330.7,196043.9,201162.8,203656.5,209193.5,211741.9,215182.8,220914.8,223402.3,226712.3,229833.5,229571.2,227660.2,227733.7,226234.3,219471.1,213125.2,208942.9,207438.7,210083.8,210002.9,212118.6,215232.3,218716.5,220196.4,222847.9,224936.8,230676.9,233518.3,235248.1,234997.4,236060.4,238286.3,238357.3,240608.5,243163.9,244017.5,246587.9,250352.5,250935.8,255998.4,258594.7,259896.2,262770.0,265694.5,271344.4,275764.0,278975.8,284164.7,287042.7,292941.9,297474.8,304869.6,307867.1,311706.3,314765.2,319127.1,325771.0,334239.0,340180.7,339445.4,321282.2,351075.0,360386.9,368080.0,380838.3,392850.0,410609.5,418757.2,432133.9,442788.1,452274.3,462950.9,470188.8,481310.4,485850.0,498791.6,508053.8,516568.9,525181.0,524648.7,533429.8,544734.7
05000,Arkansas,77873.6,78389.0,79411.9,81840.5,82352.8,83996.3,84111.5,83854.5,82825.2,83901.1,84404.2,90421.5,85363.4,87796.3,87962.4,86064.0,86723.0,82351.8,82630.8,83845.3,84507.9,87105.8,88596.3,89025.3,89283.2,90692.5,91325.0,92636.6,93533.5,93854.1,94207.6,94031.1,97913.4,97811.3,99328.9,99651.9,100226.0,101578.0,102615.4,102921.2,101480.8,102451.1,103788.3,103841.9,103862.5,104591.8,104942.6,106840.2,106622.9,107061.9,107532.4,109602.8,111577.5,112381.9,112968.9,113418.7,113348.0,114202.0,116009.9,117497.1,116787.6,111124.5,121184.9,122959.7,128666.0,135075.7,137063.1,141443.2,143986.4,147298.6,150367.8,153519.5,157275.9,156900.9,158711.6,160323.2,163699.5,165760.4,168824.1,171970.2,173850.1,174363.7,178851.9
06000,California,1444701.4,1468995.0,1499512.8,1522868.7,1564533.7,1574271.3,1593288.4,1611442.7,1612502.1,1642271.4,1673158.7,1703019.3,1675480.5,1714061.9,1720324.7,1656708.7,1649653.3,1616781.3,1609321.8,1625506.0,1644955.6,1662451.1,1683551.4,1732040.1,1729097.9,1749483.1,1754250.2,1770398.1,1804601.4,1827357.3,1853385.7,1891274.7,1894459.5,1921371.2,1955025.0,2020653.7,2000420.2,2036371.5,2082455.0,2090443.1,2148729.4,2184047.8,2192015.7,2198298.0,2232062.1,2244401.8,2282141.6,2309204.9,2345134.0,2387547.9,2439358.2,2491910.9,2505833.8,2549038.1,2587444.7,2603300.7,2647539.9,2703223.4,2749885.8,2786538.3,2759816.2,2518127.1,2761725.9,2829432.6,2917145.8,3010028.3,3085881.6,3184027.5,3183558.7,3225938.0,3257619.3,3285984.4,3328368.2,3397331.7,3452581.3,3493520.7,3551347.7,3582862.0,3636645.9,3675456.2,3699845.0,3760445.0,3836391.2
08000,Colorado,188818.3,190956.5,194783.5,195029.3,201285.1,201884.9,205721.8,206334.7,212062.2,216900.3,220329.5,225899.3,223918.6,228907.2,228563.5,221292.6,218909.6,214305.7,215954.1,218613.6,219138.6,219814.7,223061.2,229406.1,228608.7,231530.0,232903.0,234674.5,237201.6,239470.3,239804.3,243567.5,251007.6,252589.2,257770.4,260975.7,264051.4,269870.0,274970.4,278801.8,277574.3,281385.3,282490.2,284062.4,281071.3,285592.5,292512.8,298368.8,300753.0,302621.8,308555.2,316306.5,326353.3,327056.7,328656.9,332757.6,340080.8,347997.6,356557.2,357870.3,355798.4,322877.0,352594.8,359347.1,373085.0,387187.4,399085.4,417748.9,430548.4,440653.9,450855.6,456831.2,463879.8,469301.5,478906.4,484939.6,483088.7,493280.9,498516.4,503044.8,506864.6,513017.7,523508.9
09000,Connecticut,181226.2,182030.4,183220.7,187719.1,196014.3,196899.6,197986.8,201400.5,210077.6,209877.8,210003.3,208447.9,219922.4,216379.4,210328.4,201422.3,208106.7,206189.5,207066.1,209198.7,208607.8,210676.9,211004.6,209585.9,205220.7,209371.2,209072.9,211417.8,214377.3,215211.6,215951.9,217027.9,214703.5,213338.0,216283.9,217528.7,214873.4,219148.1,223495.6,228010.0,231792.6,234271.5,234616.9,234681.7,236060.7,236617.4,237353.2,240797.9,240834.5,245746.0,247987.9,250555.6,251793.9,251050.4,254838.9,253940.8,254265.1,257356.6,260371.8,264315.0,256607.6,234889.1,255033.8,257954.9,258765.6,267336.8,271952.1,278419.0,284048.3,288555.1,294198.2,301460.3,304628.2,308504.3,312569.7,316924.6,317894.1,322906.6,326982.8,329925.7,332580.1,338973.1,347364.4
10000,Delaware,46158.2,44842.2,45083.2,51691.5,49368.7,51213.1,50789.5,50230.6,50892.4,52333.1,50922.5,50390.5,49385.1,49668.2,49758.4,48752.3,50989.6,51967.1,52284.7,50986.8,52285.5,51385.4,51642.4,52608.1,53702.7,55089.4,55667.9,55790.9,56763.4,56296.2,56113.2,54854.0,54287.2,54605.4,55456.1,58303.2,59043.3,61857.9,63837.4,64170.0,65801.3,67231.0,65455.8,64609.4,63180.6,63405.5,63074.5,63524.1,62977.5,61735.2,62308.9,62790.6,63911.9,65021.0,66796.6,67679.7,68945.8,70706.5,71990.4,72697.8,70929.7,66255.6,71123.3,71181.2,72767.5,73942.8,75677.0,79063.3,84822.5,87489.2,89713.1,91779.6,92671.6,93863.3,95428.3,96160.3,98787.1,100422.5,102541.7,103521.5,104465.7,105970.3,108469.2
11000,District of Columbia,54423.5,55258.6,55506.0,55847.0,56564.3,57405.7,58836.6,58329.9,60346.4,61249.2,64081.3,64286.7,65765.0,65644.1,65890.0,65871.8,64572.8,65205.5,64387.3,64640.1,66165.9,67362.9,68203.3,69330.5,69613.0,70440.4,70992.0,71371.0,72270.3,73403.7,73717.2,73473.0,74829.1,74556.9,75832.8,76395.7,78249.2,78751.1,80325.3,81184.3,82788.2,83702.6,83585.9,84100.7,86068.8,86933.4,87015.1,88209.5,87948.5,89291.1,91926.7,91999.2,92992.5,94324.6,96353.0,96629.7,96827.0,98026.2,99434.8,100762.0,100137.8,92372.1,98574.4,100574.8,100727.1,104527.7,107037.6,108764.9,111031.6,111465.5,112800.7,114211.8,116388.0,118843.6,120613.5,122230.6,123575.6,125536.1,127411.5,131118.2,131557.4,133397.7,135927.0
